Frequence [Hz],Amplitude [mV]
1259921,0.383
1260277,0.393
1260634,0.402
1260990,0.414
1261347,0.428
1261704,0.44
1262061,0.454
1262418,0.465
1262775,0.485
1263132,0.499
1263490,0.513
1263847,0.526
1264205,0.548
1264563,0.619
1264920,0.619
1265278,0.661
1265636,0.702
1265994,0.753
1266352,0.869
1266711,1.173
1267069,1.692
1267428,1.954
1267786,2.189
1268145,2.364
1268504,2.593
1268863,2.771
1269222,2.906
1269581,3.053
1269940,3.106
1270299,3.152
1270659,3.131
1271018,3.08
1271378,3.064
1271737,3.009
1272097,2.933
1272457,2.835
1272817,2.738
1273177,2.638
1273537,2.553
1273898,2.471
1274258,2.373
1274619,2.273
1274979,2.175
1275340,2.094
1275701,2.017
1276062,1.948
1276423,1.869
1276784,1.806
1277145,1.736
1277507,1.685
1277868,1.627
1278230,1.581
1278591,1.532
1278953,1.487
1279315,1.444
1279677,1.399
1280039,1.374
1280401,1.334
1280763,1.302
1281126,1.269
1281488,1.244
1281851,1.217
1282213,1.187
1282576,1.162
1282939,1.138
1283302,1.124
1283665,1.098
1284028,1.09
1284392,1.069
1284755,1.052
1285118,1.029
1285482,1.018
1285846,1.006
1286210,1.004
1286573,0.981
1286937,0.976
1287302,0.959
1287666,0.937
1288030,0.938
1288394,0.934
1288759,0.923
1289124,0.911
1289488,0.906
1289853,0.893
1290218,0.875
1290583,0.879
1290948,0.866
1291314,0.862
1291679,0.851
1292044,0.847
1292410,0.843
1292776,0.829
1293141,0.821
1293507,0.815
1293873,0.808
1294239,0.793
1294605,0.787
1294972,0.783
1295338,0.777
